Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Ruangguru,Mumbai,EdTech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,150000000.0,Series C,2018
Eduisfun,Mumbai,EdTech,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2018
HomeLane,Chennai,Interior design,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2018
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),6000000.0,,2018
FlytBase,Pune,Technology,A drone automation platform,Undisclosed,120739224.38339223,,2018
Finly,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",120739224.38339223,,2018
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2018
Lenskart,Delhi,E-commerce,It is a eyewear company,SoftBank,275000000.0,Series G,2018
Cub McPaws,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,Venture Catalysts,120739224.38339223,,2018
Appnomic,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",Avataar Ventures,22000000.0,,2018
Kaleidofin,Chennai,FinTech,Platform that provides complete financial solutions for excluded individuals and households,Oikocredit,5000000.0,Series A,2018
JobSquare,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Titan Capital,140500.0,,2018
LivFin,Delhi,FinTech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",German development finance institution DEG,5000000.0,,2018
Zest Money,Bangalore,FinTech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Goldman Sachs.,15000000.0,Series B,2018
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Kunal Bahl, Rohit Bansal.",120739224.38339223,Pre series A,2018
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,Inflection Point Ventures,120739224.38339223,,2018
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,Wilson Global Opportunities Fund,15500000.0,,2018
Seekify,Delhi,SaaS,Customer Experience (CX) Automation platform,Sequoia Capita,1500000.0,Seed funding,2018
Toffee Insurance,Haryana,Insurance technology,Provides variety of insurance plans and policies,IVM Intersurer,5500000.0,Series A,2018
HungerBox,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2018
Licious,Bangalore,Food,Online meat shop,Vertex Growth Fund,30000000.0,Series E,2018
Pumpkart,Chandigarh,E-marketplace,B2B model for appliances and electrical products,Dinesh Dua,120739224.38339223,,2018
Asteria Aerospace,Bangalore,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Reliance Industries,230000000.0,,2018
HappyEasyGo,Gurugram,Travel,Online flight booking,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2018
Zetwerk,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2018
Observe.AI,Bangalore,AI,Creates a voice AI platform,Scale Venture Partners,26000000.0,Series A,2018
Freshokartz,Jaipur,E-marketplace,Online fruits and vegetables delivery company,ThinkLab,150000.0,Pre series A,2018
Lil’ Goodness and sCool meal,Bangalore,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,"Sajan Pillai, Muthu Krishnan,",400000.0,,2018
Trell,Bangalore,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2018
Bombay Shirt Company,Mumbai,E-commerce,Online custom shirt brand,Lightbox Ventures,8000000.0,,2018
MyGameMate,Bangalore,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,"Jindagi Live Angels,",100000.0,,2018
Afinoz,Noida,FinTech,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech innovation lab,120739224.38339223,,2018
Rein Games,Noida,Technology,"It develops, publishes and distributes games across various platforms","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2018
Ecozen,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2018
Box8,Mumbai,Foodtech,Enables to order food online,Trifecta Capital,120000000.0,,2018
Awign Enterprises,Bangalore,,It supplies workforce to the economy,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2018
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,Goldman Sachs,30000000.0,Series C,2018
Freightwalla,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2018
TapChief,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,Blume Ventures.,1500000.0,Pre series A,2018
eJOHRI,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,Rajesh Ranavat,1000000.0,Pre series A,2018
Binca Games,Mumbai,Games,It offers games that are available across India and UK.,Sunil Gavaskar,120739224.38339223,,2018
KredX,Bangalore,,Invoice discounting platform,Tiger Global Management,26000000.0,Series B,2018
m.Paani,Mumbai,,It digitizes and organises local retailers,"AC Ventures, Henkel",5500000.0,Series A,2018
Origo,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,,2018
WishADish,Delhi,Foodtech,Provides management solution for restaurants,Undisclosed,6000000.0,,2018
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,CDC Group,36000000.0,,2018
Stanza Living,Delhi,Accomodation,Provides comfortable and secure accomodation for students,Alteria Capital,5700000.0,,2018
PiBeam,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,GAIL (India) Ltd,50000000.0,,2018
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,"Blume Ventures, Emergent Ventures",2000000.0,,2018
Moms Co,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2018
Lawyered,Delhi,Legal tech,It helps to connect to legal advise online,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,,2018
Cuemath,Bangalore,EdTech,It helps students to learn math online,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,,2018
Licious,Bangalore,Food,Online meat shop,Vertex Ventures,25000000.0,Series D,2018
Nivesh.com,Noida,Mutual Funds,The platform simplifies the process of investment,Windrose Capital,600000.0,,2018
Smart Institute,Surat,EdTech,A platform to learn online,HNI investors,1500000.0,,2018
CarDekho,Jaipur,Automobile,Enables people to buy and sell new/old cars.,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2018
Shadowfax,Bangalore,Logistics,A platform for delivery services,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2018
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,,2018
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Inflection Point Ventures, SucSEED Venture Partners.",120739224.38339223,Series B,2018
Sarva,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,"Venture fund, Fireside Ventures.",2800000.0,,2018
IndyFint,Bangalore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Saravanan Adiseshan,2100000.0,Series A,2018
Ola,Bangalore,Transportation,It enables one to book cab online,"Kia Motors, Hyundai",311000000.0,,2018
Zoomcar,Bangalore,Transport & Rentals,A car rental service platform,Zoomcar Inc,4800000.0,,2018
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2018
Froogal,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,US-based angel investors,1000000.0,Pre series A,2018
Infra.Market,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2018
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,,2018
GoMechanic,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,Sequoia Capital,5000000.0,Series B,2018
Spinny,Delhi,Automobile,Online car retailer,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,,2018
Ess Kay Fincorp,Rajasthan,Banking,Organised Non-Banking Finance Company,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,,2018
Ruangguru,Mumbai,EdTech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,150000000.0,Series C,2019
Eduisfun,Mumbai,EdTech,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019
HomeLane,Chennai,Interior design,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),6000000.0,,2019
FlytBase,Pune,Technology,A drone automation platform,Undisclosed,120739224.38339223,,2019
Finly,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",120739224.38339223,,2019
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019
