Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Unbox Robotics,Bangalore,AI,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First","$1,200,000.00",Pre-series A
upGrad,Mumbai,EdTech,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management","$120,000,000.00",
Lead School,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital","$30,000,000.00",Series D
Bizongo,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital","$51,000,000.00",Series C
FypMoney,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal","$2,000,000.00",Seed
Urban Company,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,"$188,000,000.00",
Comofi Medtech,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI","$200,000.00",
Qube Health,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,$nan,Pre-series A
Vitra.ai,Bangalore,Tech Startup,Vitra.ai is an AI-based video translation platform,Inflexor Ventures,$nan,
Taikee,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",,"$1,000,000.00",
Fitterfly,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures","$3,000,000.00",Pre-series A
FreeStand,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park","$100,000.00",
MyDentalPlan,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,"$700,000.00",Seed
Freyr Energy,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners","$2,000,000.00",
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital","$9,000,000.00",
Tessolve,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,"$40,000,000.00",
Smart Joules,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm","$49,000,000.00",
ORAI,Bangalore,IT,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,"$400,000.00",Pre-series A
ixamBee,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha","$300,000.00",Seed
CoinSwitch Kuber,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah","$25,000,000.00",Series B
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC","$160,000,000.00",Series E
Uable,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",$nan,Seed
ZFW Hospitality,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO","$150,000.00",Pre-seed
Optimized Electrotech,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,"$1,800,000.00",Pre-series A
Northern Arc,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO","$5,000,000.00",
Chara,Bangalore,Deeptech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,"$850,000.00",Seed
Sirona Hygiene,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund","$3,000,000.00",Series A
Pristyn Care,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures","$53,000,000.00",Series D
TrulyMadly,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor","$2,000,000.00",Pre-series A
Vidyakul,,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"JITO Angel Network, SOSV","$500,000.00",Seed
Jambox Games,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",,"$1,100,000.00",Seed
Miko,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital","$6,000,000.00",
SuperK,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,"$800,000.00",Seed
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,"$500,000.00",Pre-series A
Fuel Buddy,New Delhi,Oil & Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,"$1,000,000.00",
M1xchange,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,"$10,000,000.00",
Spintly,Goa,Tech Startup,Wireless cloud based access control platform,Riso Capital,"$500,000.00",
EF Polymer,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,"$200,000.00",
boAt,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus","$6,000,000.00",
TruNativ,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,$nan,Seed
iBus,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,"$21,000,000.00",
Puresh Daily,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners","$100,000.00",Seed
LearnVern,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,,"$1,000,000.00",
LimeChat,Faridabad,AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma","$7,500,000.00",Seed
Dybo,Bangalore,IT,Product Visualisation Technology for Commerce,Spanache,"$100,000.00",Seed
moEVing,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",,"$1,000,000.00",Seed
WeWork India,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",,"$26,000,000.00",
Solethreads,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital","$1,000,000.00",Series A
Beldara,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,"$7,400,000.00",
CredFlow,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures","$2,000,000.00",Seed
Do Your Thng,Gurugram,Marketing,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network","$1,500,000.00",
Oye Rickshaw,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures","$3,000,000.00",
Legitquest,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge","$600,000.00",
Swiggy,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital","$800,000,000.00",
AntWak,Bangalore,EdTech,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",$nan,Seed
PlayShifu,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund","$17,000,000.00",Series B
Pitstop,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture","$3,500,000.00",Pre-series B
