Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Aqgromalin,Chennai,AgriTech,Cultivating Ideas for Profit,Angel investors,"$200,000.00",
Krayonnz,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,GSF Accelerator,"$100,000.00",Pre-seed
PadCare Labs,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Venture Center,$nan,Pre-seed
NCOME,New Delhi,Escrow,Escrow-as-a-service platform,Venture Catalysts,"$400,000.00",
Gramophone,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,Siana Capital Management,"$340,000.00",
qZense,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,Venture Catalysts,"$600,000.00",Seed
MyClassboard,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,ICICI Bank.,"$600,000.00",Pre-series A
Metvy,Gurgaon,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,HostelFund,$nan,Pre-series
Rupeek,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",KB Investment,"$45,000,000.00",Series C
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,Shantanu Deshpande,"$1,000,000.00",Pre-series A
Slurrp Farm,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Fireside Ventures,"$2,000,000.00",Series A
Medfin,Bangalore,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,Axilor Ventures,$nan,Series A
MasterG,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,Acumen Funds angel programme,$nan,
Brila 91,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,Sequoia Capital India,"$1,200,000.00",
FoodyBuddy,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,Rebel Foods,"$600,000.00",
Zomato,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,Kora,"$660,000,000.00",
OurEye.ai,Bangalore,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",100X VC,"$120,000.00",
Shiprocket,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,Bertelsmann India Investments,"$7,500,000.00",Series C
Pine Labs,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Mastercard,$nan,
Moneyboxx Finance,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,BlackSoil,"$1,000,000.00",
EWar,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,Jindal Steels,$nan,Pre-series A
SucSEED Indovation,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",,"$5,000,000.00",
TaxBuddy.com,Mumbai,FinTech,TaxBuddy for any tax related issues.,Zenith Global,"$1,000,000.00",
Awign Enterprises,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,Unitus Ventures,"$500,000.00",
Circle of Angels,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,,"$3,000,000.00",
CoinDCX,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,Coinbase Ventures,"$10,000,000.00",Series B
Glance,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Mithril Capital Management.,"$145,000,000.00",
VerSe Innovation,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,Google,"$100,000,000.00",
Voosh,Bangalore,Food Industry,Building India's largest digital food service brand,Better Capital,$nan,Pre-seed
Delhivery,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,Steadview Capital,$nan,
